time,open,high,low,close,dynamic_sine_wave,dynamic_cosine_wave,adaptive_EB_sinewave,cycle_strength,cycle_stability,snr,cycle_phase,cycle_stage,cycle_stage_pct,cycle_phase_velocity,phase_velocity,phase_direction
1743393840,3106.88,3107.15,3106.55,3106.76,0.5666940704727119,0.42543158908901485,0,0.9726484570142877,0.9998672489295677,0.91891214819266,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393900,3106.78,3106.85,3105.91,3106.85,0.662353400007333,0.37514886209407255,0,0.9753836113128589,0.9999114988568326,0.9214465316016884,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393960,3106.84,3106.95,3106.64,3106.84,0.6940340098203132,0.12424240039646861,0,0.977845250181573,0.9999409990505496,0.9321406212904455,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743394020,3106.83,3107.21,3106.77,3107.11,0.6808324626839102,-0.05177273779927596,0,0.9800607251634157,0.9999606659524323,0.9575768037480115,-3.1415926535906706,0.49999999999986033,49.99999999998603,3.141592653589793,1,1
1743394080,3107.2,3108.02,3107.2,3107.93,0.6236024832023617,-0.22443980931461505,0,0.9820546526470741,0.9999737772663744,0.9563558589153084,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394140,3107.79,3108.95,3107.6,3108.65,0.5752435077345697,-0.1896502380563465,0,0.9838491873823667,0.9999825181624666,0.8912860687718943,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394200,3108.67,3108.82,3108,3108.46,0.43136184768209795,-0.5642632172606936,0,0.9854642686441301,0.9999883454353755,0.8452836227411356,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394260,3108.4,3108.43,3108.07,3108.08,0.2595846524312509,-0.6736616244829473,0,0.9869178417797171,0.9999922302876724,0.8264048809183923,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394320,3108.04,3108.43,3107.78,3107.85,0.07102050013317059,-0.7394953269022034,0,0.9882260576017454,0.9999948201906657,0.7942049135646362,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394380,3107.89,3108.96,3106.08,3108.86,-0.12253820789570971,-0.7590825632770036,0,0.9894034518415709,0.9999965467932778,0.669308970569373,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394440,3108.85,3109.43,3108.73,3109.31,-0.35593105591944857,-0.9153008052830358,0,0.9904631066574138,0.9999976978619631,0.5890563371149813,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743394500,3109.34,3109.57,3108.94,3109.24,-0.5691959527503402,-0.836364667815628,0,0.9914167959916724,0.9999984652412097,0.507046711692582,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
